日期,渠道名称,新增用户,活跃用户,付费用户,新增付费用户,收入,新增用户收入,渠道收入占比,付费率,ARPPU,ARPU,新增次日留存率,新增7日后留存率
2016/1/29,渠道J,6677,54824,851,558,12830,2907,0.065 ,0.016 ,15.080 ,0.230 ,0.270 ,
2016/1/29,渠道D,1420,54452,945,538,14304,1890,0.073 ,0.017 ,15.140 ,0.260 ,0.242 ,
2016/1/29,渠道G,22470,54149,220,175,4418,1874,0.022 ,0.004 ,20.080 ,0.080 ,0.271 ,
2016/1/29,渠道E,2013,49355,895,547,12795,2335,0.065 ,0.018 ,14.300 ,0.260 ,0.286 ,
2016/1/29,渠道F,12422,38215,469,269,8298,2219,0.042 ,0.012 ,17.690 ,0.220 ,0.327 ,
2016/1/29,渠道H,4275,14509,736,441,7429,2782,0.038 ,0.051 ,10.090 ,0.510 ,0.193 ,
2016/1/29,渠道I,3888,10156,173,147,3021,1628,0.015 ,0.017 ,17.460 ,0.300 ,0.338 ,
2016/1/30,渠道A,49946,184474,4220,3180,86744,23966,0.293 ,0.023 ,20.560 ,0.470 ,0.268 ,
2016/1/30,渠道B,56824,165318,2907,2377,59276,24445,0.200 ,0.018 ,20.390 ,0.360 ,0.273 ,
2016/1/30,渠道C,33858,145662,2993,2291,53606,17887,0.181 ,0.021 ,17.910 ,0.370 ,0.310 ,
2016/1/30,渠道G,22152,54520,611,557,14744,7375,0.050 ,0.011 ,24.130 ,0.270 ,0.264 ,
2016/1/30,渠道J,6943,54250,1060,705,18596,4392,0.063 ,0.020 ,17.540 ,0.340 ,0.262 ,
2016/1/30,渠道D,1484,52450,1100,630,18816,2532,0.064 ,0.021 ,17.110 ,0.360 ,0.249 ,
2016/1/30,渠道E,1937,47162,964,557,16854,2886,0.057 ,0.020 ,17.480 ,0.360 ,0.290 ,
2016/1/30,渠道F,12714,39367,534,307,11209,3125,0.038 ,0.014 ,20.990 ,0.280 ,0.323 ,
2016/1/30,渠道H,4846,15633,872,517,9011,3665,0.030 ,0.056 ,10.330 ,0.580 ,0.190 ,
2016/1/30,渠道I,4064,10823,337,291,7334,3117,0.025 ,0.031 ,21.760 ,0.680 ,0.331 ,
2016/1/31,渠道A,49438,185460,4162,3111,86605,25475,0.287 ,0.022 ,20.810 ,0.470 ,0.263 ,
2016/1/31,渠道B,57033,168643,2951,2374,58118,23407,0.193 ,0.018 ,19.690 ,0.340 ,0.268 ,
2016/1/31,渠道C,35230,150052,3006,2277,54698,17355,0.182 ,0.020 ,18.200 ,0.360 ,0.304 ,
2016/1/31,渠道G,23688,56643,756,657,17704,7336,0.059 ,0.013 ,23.420 ,0.310 ,0.256 ,
2016/1/31,渠道J,5641,51851,1037,640,19529,3921,0.065 ,0.020 ,18.830 ,0.380 ,0.267 ,
2016/1/31,渠道D,1462,50735,1113,608,18381,2852,0.061 ,0.022 ,16.520 ,0.360 ,0.230 ,
2016/1/31,渠道E,2058,45875,962,585,17498,3751,0.058 ,0.021 ,18.190 ,0.380 ,0.287 ,
2016/1/31,渠道F,13292,40680,539,306,11940,3079,0.040 ,0.013 ,22.150 ,0.290 ,0.322 ,
2016/1/31,渠道H,4881,16316,908,522,10426,3788,0.035 ,0.056 ,11.480 ,0.640 ,0.194 ,
2016/1/31,渠道I,4222,11518,346,274,6338,2392,0.021 ,0.030 ,18.320 ,0.550 ,0.296 ,
