player_id,last_date,pay_cnt,pay_mnt
1,20161002,2,48
2,20161002,2,7
3,20161002,1,6
4,20160927,2,31
5,20160928,1,6
6,20161002,5,73
7,20161002,1,6
8,20161001,1,6
9,20161002,1,25
10,20161002,1,30
11,20161002,1,6
12,20161002,1,6
13,20161002,3,85
14,20160929,1,6
15,20161002,2,2
16,20160927,1,6
17,20161002,1,18
18,20161002,2,2
19,20161002,1,6
20,20161002,4,152
21,20161002,1,30
22,20161002,3,85
23,20161002,1,25
24,20161002,4,481
25,20161002,1,6
26,20161002,1,6
27,20161002,2,31
28,20161002,1,98
29,20161002,1,1
30,20161002,1,6
31,20161002,1,25
32,20161002,1,6
33,20161002,1,25
34,20161002,2,31
35,20161002,2,55
36,20161002,2,55
37,20161002,1,1
38,20161002,1,18
39,20161002,1,25
40,20161002,3,18
41,20161002,1,25
42,20161002,1,18
43,20161002,1,6
44,20160928,1,1
45,20161002,3,551
46,20161002,3,54
47,20161002,2,204
48,20161002,3,944
49,20161002,2,7
50,20161002,2,7
51,20161002,2,31
52,20161002,1,25
53,20161002,3,90
54,20161002,3,30
55,20161002,1,6
56,20161002,1,25
57,20161002,1,6
58,20161002,1,30
59,20160929,1,6
60,20161002,1,30
61,20161002,1,25
62,20161002,1,25
63,20161002,2,673
64,20161002,1,6
65,20161002,1,6
66,20161001,1,25
67,20161002,2,2
68,20161002,1,6
69,20161002,1,25
70,20161002,1,6
71,20161002,1,6
72,20161002,8,674
73,20161002,8,72
74,20161001,1,6
75,20161002,1,1
76,20161002,2,104
77,20161002,1,6
78,20160928,1,1
79,20161002,1,25
80,20161002,2,7
81,20161002,6,132
82,20161002,2,104
83,20161002,2,12
84,20161002,2,2
85,20161002,1,1
86,20161002,2,31
87,20161001,1,1
88,20161002,3,32
89,20161002,1,1
90,20161002,1,25
91,20161002,1,18
92,20161002,4,79
93,20161002,1,6
94,20161002,1,1
95,20161002,2,7
96,20161002,2,12
97,20161002,1,1
98,20161002,4,55
99,20161002,1,30
100,20161002,1,1
101,20161002,2,12
102,20161002,1,98
103,20161002,3,852
104,20161002,1,1
105,20161002,1,1
106,20161002,1,6
107,20161001,1,1
108,20161002,1,6
109,20161002,1,25
110,20161002,3,8
111,20161002,1,1
112,20161002,1,6
113,20160930,1,30
114,20161002,6,127
115,20161002,1,1
116,20161002,1,6
117,20161001,1,6
118,20161002,3,37
119,20161002,1,1
120,20161002,2,43
121,20161002,1,6
122,20161002,2,48
123,20161002,2,48
124,20161002,2,43
125,20161002,1,1
126,20161002,5,177
127,20160929,1,1
128,20161002,4,48
129,20161002,3,8
130,20161002,1,6
131,20160930,1,1
132,20161002,1,25
133,20161002,1,1
134,20161002,1,1
135,20161002,1,6
136,20161002,1,6
137,20160928,1,1
138,20161002,3,30
139,20161002,1,1
140,20160930,1,1
141,20160930,1,6
142,20161002,3,61
143,20161002,1,1
144,20160927,7,14
145,20161002,3,56
146,20161002,2,2
147,20161002,1,1
148,20161002,1,1
149,20161002,1,6
150,20161002,1,1
151,20160927,1,1
152,20160927,1,1
153,20161002,1,6
154,20161002,1,1
155,20161002,2,26
156,20161002,1,6
157,20161002,1,18
158,20160926,1,1
159,20161002,2,2
160,20161002,1,6
161,20160928,1,6
162,20161001,2,2
163,20161001,1,1
164,20161002,3,73
165,20161002,4,31
166,20161002,2,7
167,20161002,1,1
168,20161001,1,6
169,20161001,2,7
170,20161002,2,2
171,20161001,1,1
172,20161002,1,6
173,20160927,2,2
174,20161002,2,7
175,20161002,1,6
176,20161002,1,25
177,20160927,1,6
178,20161002,2,7
179,20161002,1,6
180,20161002,4,123
181,20161002,1,1
182,20161002,2,7
183,20161002,1,1
184,20160930,1,6
185,20160929,2,7
186,20161001,1,6
187,20161002,2,7
188,20161002,1,1
189,20161002,1,1
190,20161002,1,6
191,20161002,1,1
192,20161002,1,1
193,20160926,1,6
194,20160929,1,1
195,20161002,5,153
196,20161002,1,6
197,20161002,5,172
198,20160928,1,1
199,20160928,6,55
200,20160928,1,1
201,20160929,1,6
202,20161002,3,32
203,20160930,2,7
204,20160927,1,6
205,20161002,4,55
206,20160927,2,26
207,20160926,1,6
208,20161002,1,6
209,20161002,1,6
210,20161002,2,26
211,20160930,2,7
212,20161002,1,6
213,20161002,2,2
214,20160928,1,6
215,20160927,1,1
216,20160930,1,1
217,20161002,2,7
218,20160928,1,6
219,20161002,2,2
220,20161001,2,7
221,20160929,2,7
222,20161001,1,30
223,20161002,1,6
224,20161002,2,7
225,20160928,1,1
226,20160929,1,1
227,20161002,1,6
228,20161002,2,26
229,20160928,1,6
230,20160928,2,2
231,20160930,1,1
232,20160928,2,7
233,20161001,1,1
234,20160928,1,6
235,20160930,1,1
236,20160929,1,6
237,20160929,2,26
238,20161002,1,6
239,20161002,8,202
240,20161002,2,7
241,20161002,3,37
242,20160929,1,1
243,20161002,2,31
244,20161002,1,1
245,20161002,2,7
246,20161002,3,32
247,20161002,4,55
248,20161002,2,7
249,20161002,3,32
250,20161002,2,7
251,20161002,1,1
252,20161001,1,6
253,20161002,1,1
254,20161002,1,1
255,20160930,3,8
256,20161002,1,25
257,20161002,4,33
258,20161002,6,86
259,20160929,1,6
260,20161002,1,1
261,20161002,2,7
262,20160929,2,7
263,20161001,1,6
264,20160929,1,1
265,20161001,1,1
266,20161002,2,7
267,20160929,1,1
268,20161002,3,8
269,20161002,1,6
270,20161001,1,1
271,20160929,1,1
272,20161002,1,1
273,20161002,1,6
274,20161002,5,37
275,20161002,1,6
276,20161002,3,13
277,20161002,2,26
278,20161002,6,278
279,20161001,1,1
280,20161002,1,1
281,20161002,2,7
282,20161002,2,7
283,20160930,1,1
284,20161002,3,27
285,20161002,2,2
286,20161002,1,1
287,20161001,1,1
288,20161001,1,1
289,20160930,1,1
290,20161002,2,2
291,20160930,1,6
292,20161002,2,7
293,20161002,2,7
294,20161002,1,1
295,20161002,2,31
296,20161002,1,6
297,20161002,1,1
298,20161002,1,1
299,20161002,3,253
300,20160930,3,32
301,20161002,2,7
302,20161002,2,7
303,20161002,3,13
304,20161002,1,6
305,20161002,2,7
306,20161002,1,6
307,20161002,2,7
308,20161002,1,6
309,20161002,4,57
310,20161001,1,6
311,20161001,1,25
312,20161002,2,19
313,20161002,1,6
314,20161002,3,25
315,20161002,3,8
316,20161002,6,178
317,20161002,1,1
318,20161002,2,104
319,20161002,1,6
320,20161002,2,7
321,20161002,1,1
322,20161002,1,1
323,20161002,1,1
324,20161002,2,2
325,20161002,1,6
326,20161002,4,33
327,20161002,1,1
328,20161002,3,37
329,20161002,1,6
330,20161002,1,6
331,20161002,2,12
332,20161002,3,32
333,20161002,1,1
334,20161002,1,6
335,20161002,1,25
336,20161002,2,31
337,20161002,1,6
338,20161002,4,62
339,20161002,1,1
340,20161002,2,12
341,20161002,1,1
342,20161002,1,1
343,20161002,2,12
344,20161002,2,7
345,20161002,1,6
346,20161002,1,1
347,20161002,1,6
348,20161002,4,106
349,20161002,1,1
350,20161002,1,6
351,20160929,1,1
352,20161002,1,1
353,20160929,1,1
354,20160927,1,6
355,20161002,3,78
356,20161002,1,1
357,20161002,2,24
358,20161002,2,104
359,20161002,3,708
360,20161002,1,6
361,20161002,2,228
362,20161002,3,54
363,20161002,2,60
364,20161002,1,25
365,20161002,1,30
366,20161002,2,12
367,20161002,1,6
368,20160928,1,1
369,20161002,1,25
370,20161002,7,193
371,20161002,1,6
372,20161002,1,6
373,20161002,2,123
374,20161002,2,31
375,20161002,5,425
376,20161002,1,25
377,20161002,1,25
378,20161002,2,31
379,20161002,1,25
380,20161002,1,25
381,20161002,1,25
382,20161002,2,43
383,20161002,1,25
384,20161002,5,30
385,20161002,5,1747
386,20161002,6,239
387,20161002,2,31
388,20161002,1,25
389,20161002,4,244
390,20161002,2,204
391,20161002,14,788
392,20161002,6,3270
393,20161002,1,6
394,20161002,2,12
395,20161002,1,6
396,20161002,5,1197
397,20161002,2,60
398,20161002,1,25
399,20161002,1,25
400,20161002,2,43
401,20161002,2,7
402,20161002,1,25
403,20161002,1,30
404,20161002,1,1
405,20161002,1,1
406,20161001,1,1
407,20161002,2,12
408,20161002,1,6
409,20161002,1,6
410,20161002,1,25
411,20161002,2,31
412,20161002,1,6
413,20160929,1,1
414,20161002,1,30
415,20161001,1,18
416,20161002,1,25
417,20161002,3,42
418,20161001,1,6
419,20161002,5,468
420,20160928,1,1
421,20161002,1,6
422,20161002,2,24
423,20161002,2,60
424,20160930,1,1
425,20161002,1,6
426,20161002,1,25
427,20161002,1,6
428,20161001,1,1
429,20161002,1,6
430,20160927,1,6
431,20161002,2,48
432,20161002,1,6
433,20161002,1,6
434,20161002,1,25
435,20161002,8,312
436,20161002,1,25
437,20161002,1,25
438,20161002,2,7
439,20161002,1,6
440,20161002,2,31
441,20161002,1,98
442,20160930,1,1
443,20161002,2,43
444,20160927,2,7
445,20161002,1,18
446,20161002,1,25
447,20161002,1,1
448,20161002,1,6
449,20161002,1,6
450,20161002,3,229
451,20160930,1,1
452,20161002,1,30
453,20161002,1,6
454,20161002,1,6
455,20161002,1,1
456,20161002,1,1
457,20161002,2,2
458,20161001,1,6
459,20161002,2,526
460,20161002,2,36
461,20161002,8,323
462,20160929,1,1
463,20161002,1,6
464,20161002,1,6
465,20161002,2,7
466,20161002,1,1
467,20161002,1,25
468,20161001,1,1
469,20161002,1,6
470,20160930,1,6
471,20161002,1,1
472,20161002,1,6
473,20161002,1,1
474,20161002,1,6
475,20161002,1,1
476,20161002,2,31
477,20161001,1,6
478,20161002,3,158
479,20161002,1,1
480,20161002,2,7
481,20161002,1,1
482,20161002,1,1
483,20161002,2,43
484,20161002,2,7
485,20161002,1,6
486,20161002,3,451
487,20161002,4,55
488,20161002,1,6
489,20161002,1,25
490,20161001,1,1
491,20161002,1,1
492,20161002,1,1
493,20161002,3,32
494,20161002,2,296
495,20160929,2,26
496,20161002,1,6
497,20161002,1,6
498,20161001,1,1
499,20161001,1,1
500,20161002,1,18
501,20161002,6,244
502,20161002,1,6
