1,1,11008
1,2,11001
1,3,11034
1,4,11002
2,1,11017
2,2,11004
2,3,11018
2,4,11035
2,5,11036
2,6,11008
2,7,11037
2,8,11009
2,9,11038
2,10,11026
2,11,11039
2,12,11040
2,13,11032
2,14,11041
2,15,11042
2,16,11034
2,17,11043
3,1,11008
3,2,11046
3,3,11034
4,1,11045
4,2,11049
4,3,11018
4,4,11008
4,5,11035
4,6,11027
4,7,11046
4,8,11009
4,9,11031
4,10,11041
4,11,11001
4,12,11003
4,13,11002
5,1,11051
5,2,11054
5,3,11018
5,4,11035
5,5,11008
5,6,11009
5,7,11026
5,8,11040
5,9,11052
5,10,11041
5,11,11003
5,12,11034
5,13,11048
6,1,11000
6,2,11058
6,3,11017
6,4,11049
6,5,11001
6,6,11034
7,1,11008
7,2,11009
7,3,11034
8,1,11008
8,2,11004
8,3,11034
9,1,11008
9,2,11007
9,3,11034
10,1,11045
10,2,11062
10,3,11017
10,4,11004
10,5,11021
10,6,11008
10,7,11056
10,8,11046
10,9,11040
10,10,11034
11,1,11064
11,2,11065
11,3,11066
11,4,11067
11,5,11027
11,6,11040
11,7,11061
11,8,11068
11,9,11042
11,10,11034
11,11,11025
11,12,11069
11,13,11070
11,14,11018
11,15,11004
11,16,11071
11,17,11072
11,18,11010
11,19,11008
11,20,11038
11,21,11023
11,22,11026
11,23,11041
12,1,11008
12,2,11017
12,3,11034
13,1,11008
13,2,11030
13,3,11017
13,4,11003
13,5,11001
13,6,11034
13,7,11002
13,8,11004
14,1,11025
14,2,11069
14,3,11017
14,4,11074
14,5,11008
14,6,11037
14,7,11009
14,8,11026
14,9,11032
14,10,11034
15,1,11008
15,2,11009
15,3,11017
15,4,11034
16,1,11008
16,2,11046
16,3,11034
17,1,11008
17,2,11017
17,3,11034
17,4,11067
18,1,11076
18,2,11017
18,3,11004
18,4,11034
19,1,11008
19,2,11009
19,3,11017
19,4,11001
19,5,11003
19,6,11024
19,7,11034
19,8,11018
20,1,11008
20,2,11045
20,3,11034
21,1,11008
21,2,11017
21,3,11034
22,1,11000
22,2,11025
22,3,11022
22,4,11046
22,5,11040
22,6,11039
22,7,11026
22,8,11049
22,9,11034
22,10,11002
22,11,11018
23,1,11008
23,2,11038
23,3,11060
23,4,11026
23,5,11034
24,1,11008
24,2,11025
24,3,11026
24,4,11063
24,5,11041
24,6,11034
25,1,11038
25,2,11009
25,3,11026
25,4,11041
25,5,11034
26,1,11035
26,2,11008
26,3,11076
26,4,11017
26,5,11003
26,6,11018
26,7,11034
27,1,11008
27,2,11017
27,3,11034
28,1,11003
28,2,11034
28,3,11004
28,4,11071
29,1,11035
29,2,11008
